Timestamp,Value
04-05-2013 14:30,23.2
04-05-2013 14:40,23.2
04-05-2013 14:50,23.2
04-05-2013 15:00,23.3
04-05-2013 15:10,23.4
04-05-2013 15:20,23.3
04-05-2013 15:30,23.3
04-05-2013 15:40,23.1
04-05-2013 15:50,23.2
04-05-2013 16:00,23.4
04-05-2013 16:10,23.3
04-05-2013 16:20,23.3
04-05-2013 16:30,23.5
04-05-2013 16:40,23.7
04-05-2013 16:50,23.6
04-05-2013 17:00,23.0
04-05-2013 17:10,22.3
04-05-2013 17:20,22.8
04-05-2013 17:30,22.3
04-05-2013 17:40,22.2
04-05-2013 17:50,22.2
04-05-2013 18:00,22.4
04-05-2013 18:10,22.2
04-05-2013 18:20,22.1
04-05-2013 18:30,22.5
04-05-2013 18:40,22.3
04-05-2013 18:50,22.2
04-05-2013 19:00,22.6
04-05-2013 19:10,22.2
04-05-2013 19:20,22.6
04-05-2013 19:30,22.3
04-05-2013 19:40,22.2
04-05-2013 19:50,22.7
04-05-2013 20:00,22.4
04-05-2013 20:10,22.9
04-05-2013 20:20,22.3
04-05-2013 20:30,22.5
04-05-2013 20:40,22.3
04-05-2013 20:50,22.0
04-05-2013 21:00,22.5
04-05-2013 21:10,21.8
04-05-2013 21:20,22.7
04-05-2013 21:30,21.8
04-05-2013 21:40,22.5
04-05-2013 21:50,22.1
04-05-2013 22:00,22.3
04-05-2013 22:10,21.9
04-05-2013 22:20,22.4
04-05-2013 22:30,22.4
04-05-2013 22:40,22.1
04-05-2013 22:50,22.8
04-05-2013 23:00,22.1
04-05-2013 23:10,22.1
04-05-2013 23:20,22.5
04-05-2013 23:30,22.0
04-05-2013 23:40,22.7
04-05-2013 23:50,21.8
04-06-2013 00:00,22.3
04-06-2013 00:10,22.7
04-06-2013 00:20,21.9
04-06-2013 00:30,22.4
04-06-2013 00:40,22.5
04-06-2013 00:50,22.1
04-06-2013 01:00,22.9
04-06-2013 01:10,22.0
04-06-2013 01:20,22.9
04-06-2013 01:30,21.8
04-06-2013 01:40,22.7
04-06-2013 01:50,21.8
04-06-2013 02:00,22.3
04-06-2013 02:10,22.1
04-06-2013 02:20,22.2
04-06-2013 02:30,22.4
04-06-2013 02:40,22.4
04-06-2013 02:50,22.2
04-06-2013 03:00,22.5
04-06-2013 03:10,21.7
04-06-2013 03:20,22.5
04-06-2013 03:30,21.8
